lon,lat,owner,watershed,type,form
-92.03246648,30.22736017,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03236737,30.2288885,CITY-ROW,BILBO BASIN,CURB INLET,
-92.032312,30.22743928,CITY-ROW,WILSHIRE,CURB INLET,
-92.03228847,30.22892711,CITY-ROW,WILSHIRE,CURB INLET,
-92.03226136,30.22697395,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03224323,30.23708427,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03222125,30.22690957,CITY-ROW,PLACENTIA,CURB INLET,
-92.03221414,30.22426798,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03219623,30.23613679,CITY-ROW,PLACENTIA,CURB INLET,
-92.03217463,30.23605563,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03213648,30.23247264,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03210808,30.22413643,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03206045,30.23581014,CITY-ROW,HARMON,CURB INLET,
-92.0319702,30.23705624,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03192087,30.22824842,CITY-ROW,WINDSOR,CURB INLET,
-92.0318464,30.2264442,CITY-ROW,,GRATE INLET,
-92.03175498,30.22618594,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03170174,30.22651156,CITY-ROW,WINDSOR,CURB INLET,
-92.03170059,30.23357955,CITY-ROW,PLACENTIA,CURB INLET,
-92.03169315,30.23349488,CITY-ROW,,CURB INLET,
-92.0316868,30.23702014,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03158376,30.22433851,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03154887,30.2263861,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03150715,30.22631614,CITY-ROW,ST. AUGUSTINE CREEK,CURB INLET,
-92.03137991,30.23599434,CITY-ROW,COFFEE BLUFF,CURB INLET,
-92.03136727,30.23607365,CITY-ROW,WINDSOR,CURB INLET,
-92.03130825,30.2259391,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03121854,30.22895638,CITY-ROW,BILBO BASIN,GRATE INLET,
-92.03118764,30.22890128,CITY-ROW,CHIPPEWA,CURB INLET,
-92.0311856,30.23213079,CITY-ROW,CHIPPEWA,CURB INLET,
-92.03117883,30.23245937,CITY-ROW,WINDSOR,CURB INLET,
-92.03115714,30.23695098,CITY-ROW,PLACENTIA,CURB INLET,
-92.03106991,30.2324492,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03106872,30.22567461,CITY-ROW,HARMON,CURB INLET,
-92.03102207,30.22560754,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03099052,30.22467928,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03090848,30.23692007,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03083867,30.22497115,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03069485,30.22503994,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.0306936,30.22474323,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.030635,30.23688714,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03058356,30.2257853,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03054859,30.22445395,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03053544,30.22480529,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03053319,30.22216052,CITY-ROW,PLACENTIA,CURB INLET,
-92.03050554,30.22439033,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03037931,30.23501558,CITY-ROW,CHIPPEWA,CURB INLET,
-92.0303518,30.23520906,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03030069,30.235506,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03029849,30.23237295,CITY-ROW,CHIPPEWA,GRATE INLET,
-92.03029689,30.22522114,CITY-ROW,ST. AUGUSTINE CREEK,GRATE INLET,
-92.03027918,30.23567332,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03027292,30.23323656,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03026009,30.22530383,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03022971,30.23596968,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.0302163,30.22405434,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03020989,30.23238118,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03020659,30.2361017,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03019548,30.22612391,CITY-ROW,HARMON,CURB INLET,
-92.03018152,30.23323645,CITY-ROW,WINDSOR,CURB INLET,
-92.0301801,30.23624505,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03014634,30.23644907,CITY-ROW,COFFEE BLUFF,CURB INLET,
-92.03012036,30.23658622,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03011328,30.22494532,CITY-ROW,WINDSOR,CURB INLET,
-92.03008824,30.2367888,CITY-ROW,CHIPPEWA,CURB INLET,
-92.03006588,30.2237705,CITY-ROW,WINDSOR,CURB INLET,
-92.03006488,30.2241184,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03004479,30.22497731,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03003679,30.23682096,CITY-ROW,HARMON,CURB INLET,
-92.03002421,30.22370627,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.02982131,30.22210478,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.02979053,30.22343124,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.02975467,30.23679156,CITY-ROW,WINDSOR,CURB INLET,
-92.02965825,30.2189353,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.02965781,30.22351488,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.02963013,30.22964202,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.02962491,30.23616341,CITY-ROW,ST. AUGUSTINE CREEK,CURB INLET,
-92.02961391,30.22308344,CITY-ROW,CASEY NORTH,CURB INLET,
-92.02961318,30.22982202,CITY-ROW,CASEY SOUTH,CURB INLET,
